ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Part_Of_Speech,Text_ID,Sentence_Number,Phrase_Number,Language_ID,Clitic_ID,begin-time-offset,cf_kit,end-time-offset,gls_en_phrase,gls_en_word,gls_kit_phrase,guid,hn_kit,lit_en_phrase,media-file,msa_en,pos_en_word,segnum_en_phrase,txt_kit_phrase,variantTypes_en
se-pn026-kurupelsuwede2017e-10,"Ngaeka gognegnän ge-e, gottamänän.",ngaeka	g-o-g-neg-n-än	ge-e	g-o-ttam-än-än,cry	REM.INTR-RT.EXT.INTR-AUX.NPRS-3PL`S-NPFV-REM|FUT.3SG`S|A	this-VOC	REM.INTR-RT.EXT.INTR-finish-II.NPL-REM|FUT.3SG`S|A,"They cried and cried, and then finished.",verb	auxiliary verb	adverb	intransitive S verb,se-pn026-kurupelsuwede2017e,10,,kit,,63088,ngänaeka	g-o-g-neg-ne-än	ge-e	g-o-ttamän-n-än,67363,"They cried and cried, and then finished.",cry	aux.rem.npfv.3plS	like_this	finish.rem.3sgS,,17737e1e-bc53-4507-95f4-318de72825c2,		1	,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,verb	verb:TM + Patient-intransitive S verb:Any-verb-verb:Plurpersonal-verb:(Aspect)-verb:TAM+Agent	dem-discourse particle	verb:TM + Patient-intransitive S verb:Any-verb-verb:Any-verb:TAM+Agent,verb	auxiliary verb	adverb	intransitive S verb,10,"Ngaeka gognegnän ge-e, gottamänän.",+fast speech var. of			
se-pn026-kurupelsuwede2017e-11,"Oke, auwu we abo dibagaeya, auma däkälleyo, Galo bo pätt wanseg e, auma källkäll a gottamänän.",oke	auwu=we	abo	diba=gaeya	au=ma	d-ä-käll-eyo	Galo=bo	pätt	wanseg=e	au=ma	käll~käll=a	g-o-ttam-än-än,okay	yes=ALL	then	that=COP.PST.PL	bury=CHAR	REM.TR-3NDU`P-dig-REM.3DU`S|NSG`A	male_personal_name=3SG.POSS	body	leave_alone=ALL	bury=CHAR	INFdig=NOM	REM.INTR-RT.EXT.INTR-finish-II.NPL-REM|FUT.3SG`S|A,Then they dug the grave to bury Galo. The digging finished.,interjection	interjection	nominal enclitic	adverb	copulative verb	verbal enclitic	common noun	nominal enclitic	transitive S verb	proper noun	pronominal enclitic	common noun	transitive verb	nominal enclitic	common noun	nominal enclitic	transitive S verb	nominal enclitic	intransitive S verb,se-pn026-kurupelsuwede2017e,11,,kit,		we-all								bo-3sg-poss			e-all				a-nom	,67363,oke	auwu=e	abo	diba=gaeya	au=ma	d-ä-kɨllkɨll-eyo	Galo=bo	pätt	wanseg=e	au=ma	RED~kɨllkɨll=da	g-o-ttamän-n-än,78288,Then they dug the grave to bury Galo. The digging finished.,okay	yes		then	cop.that.pst.plS		grave		dig.rem.3nsgA>sgP	male personal name		body	leave alone		grave		INF~dig		finish.rem.3sgS,,8985f60d-f4e4-4db1-bd99-1529ccb4cf36,		2						1					2			3	1	,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,interjection	interjection	nominal enclitic	adverb	dem	verbal enclitic	transitive verb	nominal enclitic	verb:TM + Patient-verb:Patient-transitive S verb-verb:TAM+Agent	proper noun	pronominal enclitic	common noun	transitive verb	nominal enclitic	transitive verb	nominal enclitic	verb:Anytransitive S verb	nominal enclitic	verb:TM + Patient-intransitive S verb:Any-verb-verb:Any-verb:TAM+Agent,interjection	interjection	nominal enclitic	adverb	copulative verb	verbal enclitic	common noun	nominal enclitic	transitive S verb	proper noun	pronominal enclitic	common noun	transitive verb	nominal enclitic	common noun	nominal enclitic	transitive S verb	nominal enclitic	intransitive S verb,11,"Oke, auwu we abo dibagaeya, auma däkälleyo, Galo bo pätt wanseg e, auma källkäll a gottamänän.",
se-pn026-kurupelsuwede2017e-12,Pätt de dowansegeyo auma me.,pätt=de	d-o-wanse-g-eyo	au=ma=me,body=ACC	REM.TR-3NDU`P-leave_alone-III.NPL-FUT.2|3DU`S|NSG`A	bury=CHAR=LOC,They put the body in the grave.,common noun	nominal enclitic	transitive S verb	common noun	nominal enclitic	nominal enclitic,se-pn026-kurupelsuwede2017e,12,,kit,	de-acc				me-loc,78288,pätt=de	d-ä-wanseg-ngg-eyo	au=ma=me,81763,They put the body in the grave.,body		put.rem.3nsgA>3sgP	grave		,,a10a5afa-3875-47d2-b8f7-cdf0543f515b,		12			,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,common noun	nominal enclitic	verb:TM + Patient-verb:Patient-transitive verb-verb:Any-verb:TAM+Agent	transitive verb	nominal enclitic	nominal enclitic,common noun	nominal enclitic	transitive S verb	common noun	nominal enclitic	nominal enclitic,12,Pätt de dowansegeyo auma me.,
se-pn026-kurupelsuwede2017e-13,"Dawundeyo, gottamänän.",d-a-wund-eyo	g-o-ttam-än-än,REM.TR-RT.EXT.TR-cover_pit-REM.3DU`S|NSG`A	REM.INTR-RT.EXT.INTR-finish-II.NPL-REM|FUT.3SG`S|A,They covered it. It was finished.,transitive S verb	intransitive S verb,se-pn026-kurupelsuwede2017e,13,,kit,,81763,d-a-wɨndwɨnd-eyo	g-o-ttamän-n-än,85013,They covered it. It was finished.,cover_pit.rem.3nsgA>sgP	finish.rem.3sgS,,86e0951c-ac99-4631-a9b9-83de82b68e3a,1	,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,verb:TM + Patient-verb:Patient-transitive S verb-verb:TAM+Agent	verb:TM + Patient-intransitive S verb:Any-verb-verb:Any-verb:TAM+Agent,transitive S verb	intransitive S verb,13,"Dawundeyo, gottamänän.",
se-pn026-kurupelsuwede2017e-14,"Ge angde iddob gogon, lla da, lla ulleulle da, tämamae llamäg a gotäbanegän.",ge	angde	iddob	g-o-g-on	lla=da	lla	ulle~ulle=da	tämamae	llamäg=a	g-o-täba-neg-än,this	when	night	REM.INTR-RT.EXT.INTR-AUX.NPRS-REM|FUT.3SG`S|A	man=NOM	man	NSGbig=NOM	all	old_man=NOM	REM.INTR-RT.EXT.INTR-plan-3PL`S-REM|FUT.3SG`S|A,"When night came, all the men, adults and old people, made a plan.",nom. dem	connective	common noun	auxiliary verb	common noun	nominal enclitic	common noun	adj	nominal enclitic	quantifier	common noun	nominal enclitic	intransitive S verb,se-pn026-kurupelsuwede2017e,14,,kit,					da-nom			da-nom			a-nom	,85013,ge	angde	iddob	g-o-g-än	lla=da	lla	RED~ulle=da	tämamae	llamäg=da	g-o-täbatäbe-neg-än,94363,"When night came, all the men, adults and old people, made a plan.",this	when	night	aux.rem.3sgS	man		man	big.nsg		all	old man		plan.rem.3plS,,628da8de-8909-4386-8fb5-de9b2c633471,1					1		5	1			1	,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,dem	connective	common noun	verb:TM + Patient-intransitive S verb:Any-verb-verb:TAM+Agent	common noun	nominal enclitic	common noun	adj:Anyadj	nominal enclitic	quantifier	common noun	nominal enclitic	verb:TM + Patient-intransitive S verb:Any-intransitive S verb-verb:Plurpersonal-verb:TAM+Agent,nom. dem	connective	common noun	auxiliary verb	common noun	nominal enclitic	common noun	adj	nominal enclitic	quantifier	common noun	nominal enclitic	intransitive S verb,14,"Ge angde iddob gogon, lla da, lla ulleulle da, tämamae llamäg a gotäbanegän.",							+***					
se-pn026-kurupelsuwede2017e-15,"Ada,"" Ibi sisri tongoe de ngasnges e dan, gänya kuddäll täräp me.",ada	ibi	sisri	tongoe=de	ngas~nges=e	da=n	gänya	kuddäll	täräp=me,like_this	1NSG.INCL.NOM	now	game=ACC	INFdo=ALL	MED.DEM=COP.PRS.SG	this	dead	time=LOC,"They said, ""Tonight we're going to play a game in this time of death.",adverb	pers. pronoun	adverb	common noun	nominal enclitic	transitive S verb	nominal enclitic	copulative verb	verbal enclitic	determiner	mod	common noun	nominal enclitic,se-pn026-kurupelsuwede2017e,15,,kit,				de-acc		e-all						me-loc,94363,ada	ibi	sisri	tongoe=de	RED~ngasnges=e	da=n	gänya	kuddäll	täräp=me,99888,"They said, ""Tonight we're going to play a game in this time of death.",like this	1.incl.nsg.nom	now	game		do		cop.prs.sgS		this	dead	time	,,c514673a-42ae-40c0-bf3f-4ff0bf4185c6,	1				3	2	3				1	,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,adverb	pers. pronoun	adverb	common noun	nominal enclitic	verb:Anytransitive S verb	nominal enclitic	nom. dem	verbal enclitic	dem	mod	common noun	nominal enclitic,adverb	pers. pronoun	adverb	common noun	nominal enclitic	transitive S verb	nominal enclitic	copulative verb	verbal enclitic	determiner	mod	common noun	nominal enclitic,15,"Ada, ""Ibi sisri tongoe de ngasnges e dan, gänya kuddäll täräp me.",					+***							
se-pn026-kurupelsuwede2017e-16,"Ngaskäma imomdae lla da llokttang a ainin, iddob e ibi wi do auma.",ngaskäma	imomdae	lla=da	llokttang=a	ain=in	iddob=e	ibi=wi	do	au=ma,POT	true	man=NOM	strong=NOM	who=COP.PRS.SG	night=ALL	go=ALL	to	bury=CHAR,Maybe who is the strongest man to go the grave in the night.,TAM particle	adj	common noun	nominal enclitic	mod	nominal enclitic	copulative verb	verbal enclitic	common noun	nominal enclitic	verb	nominal enclitic	prep	common noun	nominal enclitic,se-pn026-kurupelsuwede2017e,16,,kit,			da-nom		a-nom				e-all		wi-all			,99888,ngasekäma	imomdae	lla=da	llokttang=da	aya=n	iddob=e	ibi=e	do	au=ma,104250,Maybe who is the strongest man to go the grave in the night.,maybe	true	man		strong		cop.who.prs.sgS		night		go		to	grave	,,cb3141e1-e1e4-49ad-98d9-49b988617594,			1		1				2	2	2	1		,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,TAM particle	mod	common noun	nominal enclitic	mod	nominal enclitic	intr. pronoun	verbal enclitic	common noun	nominal enclitic	verb	nominal enclitic	prep	transitive verb	nominal enclitic,TAM particle	adj	common noun	nominal enclitic	mod	nominal enclitic	copulative verb	verbal enclitic	common noun	nominal enclitic	verb	nominal enclitic	prep	common noun	nominal enclitic,16,"Ngaskäma imomdae lla da llokttang a ainin, iddob e ibi wi do auma. ",+fast speech var. of														
se-pn026-kurupelsuwede2017e-17-1,Ibi sisri yu bäng de onymäll e dan.,ibi	sisri	yu	bäng=de	ony-mäll=e	da=n,1NSG.INCL.NOM	now	fire	fire-stick=ACC	carry-DUR=ALL	MED.DEM=COP.PRS.SG,We'll take a firestick.,pers. pronoun	adverb	common noun	common noun	nominal enclitic	transitive S verb	nominal enclitic	copulative verb	verbal enclitic,se-pn026-kurupelsuwede2017e,17,1,kit,				de-acc		e-all		,,ibi	sisri	yu	bäng=de	ony-mäll=e	da=n,,We'll take a firestick.,1.incl.nsg.nom	now	fire	fire-stick		carry-DUR		cop.prs.sgS	,,505885ca-f2f6-4a95-94b2-5b83c61cca2d,1						2	3	,,,pers. pronoun	adverb	common noun	common noun	nominal enclitic	transitive S verb-verb:(Aspect)	nominal enclitic	nom. dem	verbal enclitic,pers. pronoun	adverb	common noun	common noun	nominal enclitic	transitive S verb	nominal enclitic	copulative verb	verbal enclitic,17.1,Ibi sisri yu bäng de onymäll e dan. ,
se-pn026-kurupelsuwede2017e-17-2,"Ttongda donyalle do auma dowansegalle, ttongda ako dallalle.",ttongo=da	d-o-ony-alle	do	au=ma	d-o-wanse-g-alle	ttongo=da	ako	d-a-ll-alle,one=NOM	REM.TR-3NDU`P-carry-IRR.SG`S|A	to	bury=CHAR	REM.TR-3NDU`P-leave_alone-III.NPL-REC.2SG`S|A	one=NOM	also	REM.TR-RT.EXT.TR-go-HAB.SG`S|A,"One will take it to the grave to leave it there, and then another will go and get it.",Num	nominal enclitic	transitive S verb	prep	common noun	nominal enclitic	transitive S verb	Num	nominal enclitic	adverb	intransitive S verb,se-pn026-kurupelsuwede2017e,17,2,kit,,104250,ttongo=da	d-ä-ony-alle	do	au=ma	d-ä-wanseg-ngg-alle	ttongo=da	ako	d-a-ll-alle,110675,"One will take it to the grave to leave it there, and then another will go and get it.",one=nom		carry.rem.irr.sgA>3sgP	to	grave		leave_alone.rem.irr.sgA>3sgP	one=nom		also	go.rem.hab.sgS,,ee10b42f-b832-4287-ad89-205d9294a11a,	1	11	1			121		1		11,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,Num	nominal enclitic	verb:TM + Patient-verb:Patient-transitive S verb-verb:TAM+Agent	prep	transitive verb	nominal enclitic	verb:TM + Patient-verb:Patient-transitive verb-verb:Any-verb:TAM+Agent	Num	nominal enclitic	adverb	verb:TM + Patient-verb:Patient-verb-verb:TAM+Agent,Num	nominal enclitic	transitive S verb	prep	common noun	nominal enclitic	transitive S verb	Num	nominal enclitic	adverb	intransitive S verb,17.2,"Ttongda donyalle do auma dowansegalle, ttongda ako dallalle.",
se-pn026-kurupelsuwede2017e-18-1,Ngäs e.,ngäs=e,return=ALL,,verb	nominal enclitic,se-pn026-kurupelsuwede2017e,18,1,kit,	e-all,,ngäs=e,,,return	,,efb581df-4409-43ca-809f-aebf6dfe2eb8,1	2,,,verb	nominal enclitic,verb	nominal enclitic,18.1,Ngäs e. ,
se-pn026-kurupelsuwede2017e-18-2,Auma watta diwenyalle.,au=ma=watt==a=watt=a	d-i-weny-alle,bury=CHAR=ABL==NOM=ABL=NOM	REM.TR-VEN-carry-IRR.SG`S|A,,common noun	nominal enclitic	nominal enclitic	nominal enclitic	nominal enclitic	transitive S verb,se-pn026-kurupelsuwede2017e,18,2,kit,,,au=ma	=att=da	d-i-ony-alle,,,grave		abl=nom			carry.rem.irr.ven.sgA>3sgP,,c76566a2-3944-4ba0-a10c-68265f2d7f50,			1	1	11,,,transitive verb	nominal enclitic		nominal enclitic	nominal enclitic	verb:TM + Patient-verb:Patient-transitive S verb-verb:TAM+Agent,common noun	nominal enclitic	nominal enclitic	nominal enclitic	nominal enclitic	transitive S verb,18.2,Auma watta diwenyalle. ,
se-pn026-kurupelsuwede2017e-18-3,"Ttongda ako donyalle do auma.""",ttongo=da	ako	d-o-ony-alle	do	au=ma,one=NOM	also	REM.TR-3NDU`P-carry-IRR.SG`S|A	to	bury=CHAR,"Return. Bring it back from the grave. Then another takes it back to the grave.""",Num	nominal enclitic	adverb	transitive S verb	prep	common noun	nominal enclitic,se-pn026-kurupelsuwede2017e,18,3,kit,,110675,ttongo=da	ako	d-ä-ony-alle	do	au=ma,116162,"Return. Bring it back from the grave. Then another takes it back to the grave.""",one=nom		also	carry.rem.irr.sgA>3sgP	to	grave	,,63606022-bc22-4bc3-9cd7-9b72efba0a15,	1		11	1		,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,Num	nominal enclitic	adverb	verb:TM + Patient-verb:Patient-transitive S verb-verb:TAM+Agent	prep	transitive verb	nominal enclitic,Num	nominal enclitic	adverb	transitive S verb	prep	common noun	nominal enclitic,18.3,"Ttongda ako donyalle do auma.""",
se-pn026-kurupelsuwede2017e-19,"Tämamae lla da ada gognegän,"" Ai da.",tämamae	lla=da	ada	g-o-g-neg-än	ai	da=0,all	man=NOM	say	REM.INTR-RT.EXT.INTR-AUX.NPRS-3PL`S-REM|FUT.3SG`S|A	good	MED.DEM=COP.PRS.SG,"Everyone said, ""OK.",quantifier	common noun	nominal enclitic	intransitive A verb	auxiliary verb	adj	copulative verb	verbal enclitic,se-pn026-kurupelsuwede2017e,19,,kit,		da-nom					,116162,tämamae	lla=da	ada	g-o-g-neg-än	ai	da=n,120175,"Everyone said, ""OK.",all	man		say	aux.rem.3plS	good	cop.prs.sgS	,,5786d448-f491-4d5d-81f8-b4f3f478362c,		1			1	3	,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,quantifier	common noun	nominal enclitic	prt	verb:TM + Patient-intransitive S verb:Any-verb-verb:Plurpersonal-verb:TAM+Agent	mod	nom. dem	verbal enclitic,quantifier	common noun	nominal enclitic	intransitive A verb	auxiliary verb	adj	copulative verb	verbal enclitic,19,"Tämamae lla da ada gognegän, ""Ai da.",							+fr. var. of
se-pn026-kurupelsuwede2017e-20,Ibi sisri mɨnyi däbe tongoe de bängesnalla iddob e.,ibi	sisri	mɨnyi	däbe	tongoe=de	b-ä-nges-n-alla	iddob=e,1NSG.INCL.NOM	now	FUT	that	game=ACC	FUT.1|3`S|A-3NDU`P-do-NPFV-FUT.1DU`S|NSG`A	night=ALL,We'll play this game tonight.,pers. pronoun	adverb	TAM particle	nom. dem	common noun	nominal enclitic	transitive S verb	common noun	nominal enclitic,se-pn026-kurupelsuwede2017e,20,,kit,					de-acc			e-all,120175,ibi	sisri	mɨnyi	däbe	tongoe=de	b-ä-ngasnges-ne-eya	iddob=e,123412,We'll play this game tonight.,1.incl.nsg.nom	now	FUT	that.acc	game		do.fut.npfv.1nsgA>3sgP	night	,,3d0dedf9-8036-4764-bf83-ab8c1c50a6f0,1			1			1		2,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,pers. pronoun	adverb	TAM particle	dem	common noun	nominal enclitic	verb:TM + Patient-verb:Patient-transitive S verb-verb:(Aspect)-verb:TAM+Agent	common noun	nominal enclitic,pers. pronoun	adverb	TAM particle	nom. dem	common noun	nominal enclitic	transitive S verb	common noun	nominal enclitic,20,Ibi sisri mɨnyi däbe tongoe de bängesnalla iddob e.,
